2025-12-31 23:39:56 | RIVERUSDT | Готовность | Памп/Кор | Score: 77 | Entry: 11.391000 | Exit: 11.689000 | Leverage: 17.4x | PnL: -2.62% ($-45.41) | Reason: SL_HIT | Duration: 35m
2025-12-31 23:40:21 | IPUSDT | Готовность | Рост/Кор | Score: 79 | Entry: 1.704100 | Exit: 1.707900 | Leverage: 20.0x | PnL: -0.22% ($-4.46) | Reason: MANUAL | Duration: 36m
2025-12-31 23:40:23 | BCHUSDT | Готовность |  | Score: 80 | Entry: 595.600000 | Exit: 596.300000 | Leverage: 20.0x | PnL: -0.12% ($-2.35) | Reason: MANUAL | Duration: 26m
2025-12-31 23:40:30 | PENDLEUSDT | Готовность |  | Score: 79 | Entry: 1.862700 | Exit: 1.870000 | Leverage: 17.6x | PnL: -0.39% ($-6.88) | Reason: MANUAL | Duration: 26m
2025-12-31 23:40:40 | MYXUSDT | Готовность | Рост/Кор | Score: 77 | Entry: 3.792800 | Exit: 3.791000 | Leverage: 20.0x | PnL: +0.05% ($+0.95) | Reason: MANUAL_ALL | Duration: 36m
2025-12-31 23:40:40 | CYBERUSDT | Готовность | Рост/Кор | Score: 86 | Entry: 0.767900 | Exit: 0.755000 | Leverage: 5.0x | PnL: +1.68% ($+4.20) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | STBLUSDT | Готовность | Пл/Пад | Score: 83 | Entry: 0.055310 | Exit: 0.055100 | Leverage: 16.5x | PnL: +0.38% ($+6.27) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | GRIFFAINUSDT | Готовность | Рост/Кор | Score: 83 | Entry: 0.019240 | Exit: 0.019100 | Leverage: 20.0x | PnL: +0.73% ($+14.55) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | MIRAUSDT | Готовность | Пл/Пад | Score: 80 | Entry: 0.149720 | Exit: 0.147710 | Leverage: 20.0x | PnL: +1.34% ($+26.85) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | TONUSDT | Готовность |  | Score: 80 | Entry: 1.632300 | Exit: 1.632300 | Leverage: 20.0x | PnL: +0.00% ($+0.00) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | BNBUSDT | Готовность |  | Score: 80 | Entry: 862.100000 | Exit: 860.700000 | Leverage: 20.0x | PnL: +0.16% ($+3.25) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | ETHUSDT | Готовность |  | Score: 79 | Entry: 2968.280000 | Exit: 2965.010000 | Leverage: 20.0x | PnL: +0.11% ($+2.20) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | SOLUSDT | Готовность |  | Score: 78 | Entry: 124.220000 | Exit: 124.110000 | Leverage: 20.0x | PnL: +0.09% ($+1.77) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | RAVEUSDT | Готовность |  | Score: 76 | Entry: 0.461510 | Exit: 0.460400 | Leverage: 20.0x | PnL: +0.24% ($+4.81) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | CHZUSDT | Готовность | Рост/Кор | Score: 75 | Entry: 0.043360 | Exit: 0.043360 | Leverage: 14.2x | PnL: +0.00% ($+0.00) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | CLOUSDT | Готовность |  | Score: 72 | Entry: 0.393000 | Exit: 0.392300 | Leverage: 16.9x | PnL: +0.18% ($+3.01) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | ESUSDT | Готовность | Рост/Кор | Score: 72 | Entry: 0.103140 | Exit: 0.103140 | Leverage: 12.1x | PnL: +0.00% ($+0.00) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | STABLEUSDT | Готовность | Рост/Кор | Score: 72 | Entry: 0.014314 | Exit: 0.014131 | Leverage: 20.0x | PnL: +1.28% ($+25.57) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | MUSDT | Готовность | Рост/Кор | Score: 71 | Entry: 1.575200 | Exit: 1.574300 | Leverage: 20.0x | PnL: +0.06% ($+1.14) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | LABUSDT | Готовность |  | Score: 65 | Entry: 0.113330 | Exit: 0.112740 | Leverage: 20.0x | PnL: +0.52% ($+10.41) | Reason: MANUAL_ALL | Duration: 27m
2025-12-31 23:40:40 | ASTERUSDT | Готовность |  | Score: 79 | Entry: 0.694800 | Exit: 0.691100 | Leverage: 20.0x | PnL: +0.53% ($+10.65) | Reason: MANUAL_ALL | Duration: 26m
2025-12-31 23:40:40 | PUMPFUNUSDT | Готовность | Рост/Кор | Score: 75 | Entry: 0.001927 | Exit: 0.001918 | Leverage: 20.0x | PnL: +0.47% ($+9.34) | Reason: MANUAL_ALL | Duration: 26m
2025-12-31 23:40:40 | EVAAUSDT | Готовность | Рост/Кор | Score: 89 | Entry: 0.988800 | Exit: 0.977400 | Leverage: 7.4x | PnL: +1.15% ($+8.59) | Reason: MANUAL_ALL | Duration: 13m
2025-12-31 23:40:40 | AIXBTUSDT | Готовность |  | Score: 59 | Entry: 0.033700 | Exit: 0.033210 | Leverage: 20.0x | PnL: +1.45% ($+29.08) | Reason: MANUAL_ALL | Duration: 13m
2026-01-01 01:42:38 | LYNUSDT | ВХОД | Памп/Кор | Score: 92 | Entry: 0.161600 | Exit: 0.156200 | Leverage: 18.8x | PnL: +3.34% ($+31.35) | Reason: TP2_HIT | Duration: 89m
2026-01-01 02:30:12 | LYNUSDT | ВХОД | Рост/Кор | Score: 94 | Entry: 0.160720 | Exit: 0.155750 | Leverage: 16.5x | PnL: +3.09% ($+25.59) | Reason: TP2_HIT | Duration: 37m
2026-01-01 02:53:59 | STBLUSDT | ВХОД |  | Score: 86 | Entry: 0.056380 | Exit: 0.054490 | Leverage: 20.0x | PnL: +3.35% ($+33.52) | Reason: TP2_HIT | Duration: 113m
2026-01-01 03:30:24 | AIXBTUSDT | ВХОД | Рост/Кор | Score: 81 | Entry: 0.033380 | Exit: 0.034550 | Leverage: 16.8x | PnL: -3.51% ($-58.87) | Reason: SL_HIT | Duration: 209m
2026-01-01 03:38:42 | IOSTUSDT | ВХОД | Рост/Кор | Score: 89 | Entry: 0.001828 | Exit: 0.001767 | Leverage: 16.2x | PnL: +3.34% ($+27.11) | Reason: TP2_HIT | Duration: 145m
2026-01-01 03:55:42 | PUMPFUNUSDT | ВХОД | Рост/Кор | Score: 83 | Entry: 0.001933 | Exit: 0.001949 | Leverage: 20.0x | PnL: -0.83% ($-8.28) | Reason: TIMEOUT | Duration: 240m
2026-01-01 03:58:08 | ASTERUSDT | ВХОД |  | Score: 86 | Entry: 0.694500 | Exit: 0.694800 | Leverage: 20.0x | PnL: -0.04% ($-0.86) | Reason: TIMEOUT | Duration: 240m
2026-01-01 04:00:32 | ESUSDT | ВХОД | Памп/Кор | Score: 87 | Entry: 0.107870 | Exit: 0.106220 | Leverage: 20.0x | PnL: +1.53% ($+15.30) | Reason: TIMEOUT | Duration: 240m
2026-01-01 04:00:32 | MYXUSDT | ВХОД |  | Score: 81 | Entry: 3.811600 | Exit: 3.842000 | Leverage: 20.0x | PnL: -0.80% ($-15.95) | Reason: TIMEOUT | Duration: 240m
2026-01-01 04:02:54 | POWERUSDT | ВХОД | Рост/Кор | Score: 94 | Entry: 0.354220 | Exit: 0.344680 | Leverage: 20.0x | PnL: +2.69% ($+26.93) | Reason: TIMEOUT | Duration: 240m
2026-01-01 04:02:54 | STRKUSDT | ВХОД |  | Score: 92 | Entry: 0.079240 | Exit: 0.079090 | Leverage: 20.0x | PnL: +0.19% ($+3.79) | Reason: TIMEOUT | Duration: 240m
2026-01-01 04:02:54 | CLOUSDT | ВХОД | Памп/Кор | Score: 90 | Entry: 0.395600 | Exit: 0.393800 | Leverage: 19.8x | PnL: +0.46% ($+9.00) | Reason: TIMEOUT | Duration: 240m
2026-01-01 04:02:54 | IPUSDT | ВХОД | Рост/Кор | Score: 89 | Entry: 1.720300 | Exit: 1.694000 | Leverage: 20.0x | PnL: +1.53% ($+15.29) | Reason: TIMEOUT | Duration: 240m
2026-01-01 04:12:56 | TONUSDT | ВХОД |  | Score: 85 | Entry: 1.642200 | Exit: 1.670200 | Leverage: 20.0x | PnL: -1.71% ($-34.10) | Reason: TIMEOUT | Duration: 240m
2026-01-01 04:37:47 | GRIFFAINUSDT | ВХОД | Рост/Кор | Score: 83 | Entry: 0.019170 | Exit: 0.019000 | Leverage: 19.7x | PnL: +0.89% ($+8.72) | Reason: TIMEOUT | Duration: 240m
